year,Portfolio,TWII,0050
initial,1000.0,1000.0,1000.0
2011,738.6499635947205,783.5839661505844,810.5776052913598
2012,1023.2987747230046,867.8110507772305,888.8926183185368
2013,1873.259337690517,960.6570891049474,981.7326991437033
2014,2107.0329075404425,1038.147358897366,1148.2631393287083
2015,2631.34251974046,933.3653190793259,1080.9964046907066
2016,2997.9705601864625,1064.412847544196,1319.458819920591
2017,3875.6302646511085,1221.6706985586936,1543.353575759687
2018,3727.6052983370214,1109.5127447586458,1459.1423611683806
2019,5235.563484419207,1393.2159074906933,1986.413193683603
2020,8788.909080203783,1696.2628539874554,2567.6352503149337
2021,9880.981203404883,2073.8074411770085,3004.3500885009835
2022,9848.129989984716,2099.8514625932266,3063.8626781562803
